[2024/05/17 22:48:08] - Namespace(att_method='norm_steep', attack_iters=10, batch_size=128, beta=6.0, chkpt_iters=50, dataset='cifar100', epochs=201, epsilon=0.03137254901960784, eq_vol=1, eval_method='sign', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', manual_step=0, model='WideResNet', momentum=0.9, norm='l_inf', pgd_alpha=2.0, random_init=1, resume=0, seed=1, train_mode='adv_train', weight_decay=0.0005, width_factor=10)
[2024/05/17 22:48:16] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Surrogate Loss 	 Train Surrogate Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Surrogate Loss 	 Test Surrogate Acc 
[2024/05/17 23:08:05] - 0 		 980.8 	 	 208.6 	 	 0.1000  		 4.2701 	 0.0501 	 	 4.4183  	 0.0365  	 	 4.4220 	 0.0363  	 	 4.0365 	 0.0822  	 	 4.2302 	 0.0596  	 	 4.2353 	 0.0586
[2024/05/17 23:27:49] - 1 		 976.3 	 	 207.2 	 	 0.1000  		 3.8985 	 0.1039 	 	 4.1545  	 0.0670  	 	 4.1617 	 0.0666  	 	 3.6930 	 0.1468  	 	 4.0003 	 0.0940  	 	 4.0093 	 0.0933
[2024/05/17 23:47:34] - 2 		 976.9 	 	 208.1 	 	 0.1000  		 3.6668 	 0.1461 	 	 4.0035  	 0.0900  	 	 4.0129 	 0.0890  	 	 3.5736 	 0.1557  	 	 3.9567 	 0.0961  	 	 3.9679 	 0.0943
[2024/05/18 00:07:19] - 3 		 976.0 	 	 208.5 	 	 0.1000  		 3.4950 	 0.1837 	 	 3.8925  	 0.1084  	 	 3.9039 	 0.1071  	 	 3.4075 	 0.2019  	 	 3.8704 	 0.1179  	 	 3.8844 	 0.1161
[2024/05/18 00:27:03] - 4 		 976.3 	 	 208.5 	 	 0.1000  		 3.3544 	 0.2120 	 	 3.8057  	 0.1215  	 	 3.8191 	 0.1203  	 	 3.1908 	 0.2397  	 	 3.7171 	 0.1391  	 	 3.7345 	 0.1355
[2024/05/18 00:46:48] - 5 		 976.3 	 	 208.0 	 	 0.1000  		 3.2326 	 0.2343 	 	 3.7313  	 0.1323  	 	 3.7468 	 0.1308  	 	 3.1141 	 0.2457  	 	 3.7057 	 0.1361  	 	 3.7260 	 0.1341
[2024/05/18 01:06:33] - 6 		 976.7 	 	 208.5 	 	 0.1000  		 3.1169 	 0.2616 	 	 3.6616  	 0.1442  	 	 3.6792 	 0.1421  	 	 2.8937 	 0.3015  	 	 3.5296 	 0.1663  	 	 3.5528 	 0.1631
[2024/05/18 01:26:17] - 7 		 976.9 	 	 207.6 	 	 0.1000  		 3.0183 	 0.2843 	 	 3.6006  	 0.1553  	 	 3.6198 	 0.1527  	 	 2.8780 	 0.3094  	 	 3.5329 	 0.1705  	 	 3.5564 	 0.1680
[2024/05/18 01:46:02] - 8 		 976.3 	 	 207.8 	 	 0.1000  		 2.9348 	 0.3030 	 	 3.5486  	 0.1651  	 	 3.5695 	 0.1622  	 	 2.7877 	 0.3198  	 	 3.4821 	 0.1721  	 	 3.5087 	 0.1692
[2024/05/18 02:05:46] - 9 		 976.7 	 	 207.3 	 	 0.1000  		 2.8691 	 0.3148 	 	 3.5045  	 0.1699  	 	 3.5265 	 0.1676  	 	 2.7713 	 0.3185  	 	 3.5409 	 0.1709  	 	 3.5707 	 0.1672
[2024/05/18 02:25:30] - 10 		 976.1 	 	 207.9 	 	 0.1000  		 2.8062 	 0.3290 	 	 3.4640  	 0.1780  	 	 3.4872 	 0.1746  	 	 2.6963 	 0.3483  	 	 3.4176 	 0.1921  	 	 3.4442 	 0.1896
[2024/05/18 02:45:12] - 11 		 974.9 	 	 207.4 	 	 0.1000  		 2.7511 	 0.3436 	 	 3.4299  	 0.1831  	 	 3.4543 	 0.1796  	 	 2.5950 	 0.3538  	 	 3.4525 	 0.1857  	 	 3.4870 	 0.1819
[2024/05/18 03:04:55] - 12 		 975.8 	 	 207.0 	 	 0.1000  		 2.7085 	 0.3518 	 	 3.3995  	 0.1893  	 	 3.4247 	 0.1853  	 	 2.5288 	 0.3725  	 	 3.4176 	 0.1922  	 	 3.4564 	 0.1872
[2024/05/18 03:24:37] - 13 		 975.0 	 	 207.0 	 	 0.1000  		 2.6661 	 0.3632 	 	 3.3718  	 0.1958  	 	 3.3977 	 0.1920  	 	 2.5308 	 0.3770  	 	 3.3308 	 0.2050  	 	 3.3629 	 0.2002
[2024/05/18 03:44:21] - 14 		 975.2 	 	 207.9 	 	 0.1000  		 2.6187 	 0.3744 	 	 3.3416  	 0.2016  	 	 3.3686 	 0.1971  	 	 2.5697 	 0.3732  	 	 3.3568 	 0.2016  	 	 3.3872 	 0.1973
[2024/05/18 04:04:04] - 15 		 975.5 	 	 207.7 	 	 0.1000  		 2.5887 	 0.3802 	 	 3.3220  	 0.2032  	 	 3.3497 	 0.1986  	 	 2.4167 	 0.4091  	 	 3.2834 	 0.2120  	 	 3.3202 	 0.2059
[2024/05/18 04:23:48] - 16 		 975.8 	 	 208.1 	 	 0.1000  		 2.5500 	 0.3890 	 	 3.2959  	 0.2061  	 	 3.3243 	 0.2018  	 	 2.4308 	 0.4016  	 	 3.2948 	 0.2186  	 	 3.3302 	 0.2142
[2024/05/18 04:43:32] - 17 		 976.3 	 	 207.8 	 	 0.1000  		 2.5183 	 0.3969 	 	 3.2746  	 0.2116  	 	 3.3037 	 0.2074  	 	 2.4345 	 0.3930  	 	 3.2958 	 0.2156  	 	 3.3327 	 0.2092
[2024/05/18 05:03:14] - 18 		 975.2 	 	 206.9 	 	 0.1000  		 2.4963 	 0.4010 	 	 3.2629  	 0.2126  	 	 3.2926 	 0.2081  	 	 2.4032 	 0.3968  	 	 3.3367 	 0.2023  	 	 3.3781 	 0.1977
[2024/05/18 05:22:57] - 19 		 974.9 	 	 207.6 	 	 0.1000  		 2.4660 	 0.4104 	 	 3.2376  	 0.2189  	 	 3.2680 	 0.2146  	 	 2.3766 	 0.4134  	 	 3.2929 	 0.2177  	 	 3.3325 	 0.2109
[2024/05/18 05:42:39] - 20 		 974.9 	 	 207.5 	 	 0.1000  		 2.4426 	 0.4151 	 	 3.2246  	 0.2204  	 	 3.2554 	 0.2154  	 	 2.3839 	 0.4082  	 	 3.2781 	 0.2168  	 	 3.3156 	 0.2112
[2024/05/18 06:02:22] - 21 		 976.1 	 	 206.8 	 	 0.1000  		 2.4299 	 0.4169 	 	 3.2176  	 0.2204  	 	 3.2487 	 0.2159  	 	 2.3348 	 0.4127  	 	 3.2746 	 0.2156  	 	 3.3161 	 0.2095
[2024/05/18 06:22:06] - 22 		 976.5 	 	 207.2 	 	 0.1000  		 2.3991 	 0.4255 	 	 3.1956  	 0.2271  	 	 3.2274 	 0.2224  	 	 2.3446 	 0.4158  	 	 3.3489 	 0.2145  	 	 3.3943 	 0.2082
[2024/05/18 06:41:49] - 23 		 975.9 	 	 207.1 	 	 0.1000  		 2.3755 	 0.4328 	 	 3.1781  	 0.2282  	 	 3.2104 	 0.2230  	 	 2.3306 	 0.4292  	 	 3.1958 	 0.2293  	 	 3.2321 	 0.2239
[2024/05/18 07:01:32] - 24 		 975.3 	 	 207.7 	 	 0.1000  		 2.3628 	 0.4340 	 	 3.1675  	 0.2289  	 	 3.2000 	 0.2242  	 	 2.3273 	 0.4124  	 	 3.2416 	 0.2286  	 	 3.2803 	 0.2223
[2024/05/18 07:21:15] - 25 		 975.9 	 	 206.9 	 	 0.1000  		 2.3397 	 0.4395 	 	 3.1556  	 0.2318  	 	 3.1888 	 0.2264  	 	 2.4017 	 0.3961  	 	 3.4252 	 0.1953  	 	 3.4705 	 0.1887
[2024/05/18 07:40:57] - 26 		 974.6 	 	 207.3 	 	 0.1000  		 2.3231 	 0.4435 	 	 3.1439  	 0.2348  	 	 3.1774 	 0.2285  	 	 2.2429 	 0.4407  	 	 3.2302 	 0.2302  	 	 3.2766 	 0.2227
[2024/05/18 08:00:38] - 27 		 974.4 	 	 207.2 	 	 0.1000  		 2.3134 	 0.4442 	 	 3.1370  	 0.2372  	 	 3.1707 	 0.2316  	 	 2.2026 	 0.4453  	 	 3.2152 	 0.2327  	 	 3.2616 	 0.2250
[2024/05/18 08:20:21] - 28 		 975.1 	 	 207.4 	 	 0.1000  		 2.2970 	 0.4495 	 	 3.1253  	 0.2394  	 	 3.1593 	 0.2334  	 	 2.2750 	 0.4358  	 	 3.1875 	 0.2291  	 	 3.2268 	 0.2228
[2024/05/18 08:40:04] - 29 		 976.1 	 	 207.1 	 	 0.1000  		 2.2825 	 0.4512 	 	 3.1158  	 0.2389  	 	 3.1503 	 0.2334  	 	 2.1784 	 0.4563  	 	 3.1572 	 0.2399  	 	 3.2029 	 0.2324
[2024/05/18 08:59:46] - 30 		 974.6 	 	 206.9 	 	 0.1000  		 2.2698 	 0.4546 	 	 3.1041  	 0.2415  	 	 3.1387 	 0.2362  	 	 2.2707 	 0.4359  	 	 3.2206 	 0.2270  	 	 3.2626 	 0.2210
[2024/05/18 09:19:27] - 31 		 974.2 	 	 207.1 	 	 0.1000  		 2.2564 	 0.4577 	 	 3.0995  	 0.2407  	 	 3.1346 	 0.2351  	 	 2.2155 	 0.4483  	 	 3.1809 	 0.2373  	 	 3.2227 	 0.2291
[2024/05/18 09:39:09] - 32 		 975.2 	 	 206.7 	 	 0.1000  		 2.2502 	 0.4596 	 	 3.0939  	 0.2427  	 	 3.1293 	 0.2375  	 	 2.2066 	 0.4539  	 	 3.1642 	 0.2435  	 	 3.2065 	 0.2366
[2024/05/18 09:58:52] - 33 		 976.0 	 	 206.8 	 	 0.1000  		 2.2402 	 0.4636 	 	 3.0863  	 0.2446  	 	 3.1218 	 0.2383  	 	 2.2039 	 0.4563  	 	 3.1436 	 0.2408  	 	 3.1838 	 0.2341
