[2024/03/31 14:41:31] - Namespace(att_method='tanh', attack_iters=10, batch_size=128, beta=1000.0, chkpt_iters=50, data_aug=True, data_dir='./cifar10', epochs=201, epsilon=0.03137254901960784, fname='cifar10_results', lr_chechpoint1=100, lr_chechpoint2=150, lr_max=0.1, lr_schedule='piecewise', model='PreRes18_standard', momentum=0.9, norm='l_inf', pgd_alpha=0.00784313725490196, random_init=1, resume=0, seed=1, train_mode='adv_train', weight_decay=0.0005, width_factor=10)
[2024/03/31 14:41:41] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Adv Loss 	 Train Adv Acc 	 Train Sgn-PGD Loss 	 Train Sgn-PGD Acc 	 Test Loss 	 Test Acc 	 Test Adv Loss 	 Test Adv Acc 	 Test Sgn-PGD Loss 	 Test Sgn-PGD Acc 
[2024/03/31 14:44:58] - 0 		 162.0 	 	 35.6 	 	 0.1000 	 	  1.7440 	 0.3502 	 	 1.8847  	 0.2994  	 	 2.3045 	 0.1697  	 	 1.4628 	 0.4612  	 	 1.7557 	 0.3611  	 	 2.2887 	 0.1814
[2024/03/31 14:48:11] - 1 		 156.8 	 	 35.5 	 	 0.1000 	 	  1.4180 	 0.4896 	 	 1.6403  	 0.3951  	 	 2.1957 	 0.1977  	 	 1.2085 	 0.5696  	 	 1.6009 	 0.4141  	 	 2.2295 	 0.1922
[2024/03/31 14:51:22] - 2 		 155.9 	 	 35.5 	 	 0.1000 	 	  1.2219 	 0.5779 	 	 1.5045  	 0.4524  	 	 2.1397 	 0.2185  	 	 1.0664 	 0.6328  	 	 1.4647 	 0.4624  	 	 2.1234 	 0.2161
[2024/03/31 14:54:34] - 3 		 156.5 	 	 35.4 	 	 0.1000 	 	  1.0848 	 0.6381 	 	 1.4023  	 0.4903  	 	 2.0852 	 0.2406  	 	 0.9842 	 0.6550  	 	 1.4088 	 0.4839  	 	 2.0930 	 0.2369
[2024/03/31 14:57:46] - 4 		 156.1 	 	 35.5 	 	 0.1000 	 	  0.9902 	 0.6755 	 	 1.3278  	 0.5194  	 	 2.0440 	 0.2531  	 	 0.8858 	 0.7007  	 	 1.4031 	 0.4978  	 	 2.1498 	 0.2477
[2024/03/31 15:00:57] - 5 		 156.0 	 	 35.6 	 	 0.1000 	 	  0.9310 	 0.7018 	 	 1.2819  	 0.5386  	 	 2.0147 	 0.2657  	 	 0.9157 	 0.6909  	 	 1.3669 	 0.5090  	 	 2.0672 	 0.2635
[2024/03/31 15:04:09] - 6 		 155.9 	 	 35.7 	 	 0.1000 	 	  0.8777 	 0.7229 	 	 1.2375  	 0.5553  	 	 1.9828 	 0.2795  	 	 0.8590 	 0.7197  	 	 1.3317 	 0.5202  	 	 2.0556 	 0.2538
[2024/03/31 15:07:23] - 7 		 158.5 	 	 35.5 	 	 0.1000 	 	  0.8428 	 0.7382 	 	 1.2089  	 0.5651  	 	 1.9655 	 0.2894  	 	 0.7986 	 0.7293  	 	 1.3142 	 0.5336  	 	 2.0705 	 0.2763
[2024/03/31 15:10:35] - 8 		 156.7 	 	 35.4 	 	 0.1000 	 	  0.8130 	 0.7474 	 	 1.1841  	 0.5753  	 	 1.9481 	 0.2953  	 	 0.7664 	 0.7405  	 	 1.3625 	 0.5292  	 	 2.1671 	 0.2612
[2024/03/31 15:13:47] - 9 		 155.9 	 	 35.5 	 	 0.1000 	 	  0.7928 	 0.7552 	 	 1.1653  	 0.5803  	 	 1.9351 	 0.3006  	 	 0.7427 	 0.7548  	 	 1.3717 	 0.5238  	 	 2.1979 	 0.2602
